Serum,Virus,Study,ID50 (Neutralization Titer)
Polyclonal AIIMS_330 112-months,00836_2_5,Mishra2019_dataset1,477
Polyclonal AIIMS_330 117-months,00836_2_5,Mishra2019_dataset1,264
Polyclonal AIIMS_330 124-months,00836_2_5,Mishra2019_dataset1,365
Polyclonal AIIMS_330 131-months,00836_2_5,Mishra2019_dataset1,547
Polyclonal AIIMS_330 138-months,00836_2_5,Mishra2019_dataset1,241
Polyclonal AIIMS_330 78-months,00836_2_5,Mishra2019_dataset1,78
Polyclonal AIIMS_330 82-months,00836_2_5,Mishra2019_dataset1,81
Polyclonal AIIMS_330 90-months,00836_2_5,Mishra2019_dataset1,86
polyclonal N152,00836_2_5,Huang2014,265
polyclonal Donor 31,0260_V5_C36,Falkowska2014,127
polyclonal N152,0260_V5_C36,Huang2014,3906
polyclonal PC64-M35,0260_V5_C36,Landais2017_dataset1,<50
polyclonal N152,0330_V4_C3,Huang2014,9263
polyclonal NIH45,0330_V4_C3,Wu2010,152
polyclonal PC64-M35,0330_V4_C3,Landais2017_dataset1,2922
polyclonal N152,0439_V5_C1,Huang2014,4111
polyclonal N152,0815_V3_C3,Huang2014,465
polyclonal PC64-M35,0815_V3_C3,Landais2017_dataset1,<50
polyclonal N152,0921_V2_C14,Huang2014,46
polyclonal CH0457 wk8,1006_11_C3_1601,Moody2015,39
polyclonal CH0457 wk96,1006_11_C3_1601,Moody2015,58
polyclonal NIH45,1006_11_C3_1601,Wu2010,70
polyclonal PC64-M35,1006_11_C3_1601,Landais2017_dataset1,312
polyclonal NIH45,1012_11_TC21_3257,Wu2010,35
polyclonal PC64-M35,1012_11_TC21_3257,Landais2017_dataset1,70
polyclonal CH0457 wk8,1054_07_TC4_1499,Moody2015,78
polyclonal CH0457 wk96,1054_07_TC4_1499,Moody2015,178
polyclonal NIH45,1054_07_TC4_1499,Wu2010,134
polyclonal PC64-M35,1054_07_TC4_1499,Landais2017_dataset1,241
polyclonal NIH45,1056_10_TA11_1826,Wu2010,266
polyclonal PC64-M35,1056_10_TA11_1826,Landais2017_dataset1,53
polyclonal CH0457 wk8,1394_C9G1,Moody2015,<20
polyclonal CH0457 wk96,1394_C9G1,Moody2015,68
polyclonal PC64-M35,1394_C9G1,Landais2017_dataset1,2989
Polyclonal AIIMS_329 102-months,16055_2_3,Mishra2019_dataset1,659
Polyclonal AIIMS_329 112-months,16055_2_3,Mishra2019_dataset1,284
Polyclonal AIIMS_329 117-months,16055_2_3,Mishra2019_dataset1,124
Polyclonal AIIMS_329 124-months,16055_2_3,Mishra2019_dataset1,112
Polyclonal AIIMS_329 131-months,16055_2_3,Mishra2019_dataset1,101
Polyclonal AIIMS_329 138-months,16055_2_3,Mishra2019_dataset1,68
Polyclonal AIIMS_329 78-months,16055_2_3,Mishra2019_dataset1,1248
Polyclonal AIIMS_329 82-months,16055_2_3,Mishra2019_dataset1,1456
Polyclonal AIIMS_329 90-months,16055_2_3,Mishra2019_dataset1,1413
Polyclonal AIIMS_330 102-months,16055_2_3,Mishra2019_dataset1,1334
Polyclonal AIIMS_330 112-months,16055_2_3,Mishra2019_dataset1,2348
Polyclonal AIIMS_330 117-months,16055_2_3,Mishra2019_dataset1,1897
Polyclonal AIIMS_330 124-months,16055_2_3,Mishra2019_dataset1,1153
Polyclonal AIIMS_330 131-months,16055_2_3,Mishra2019_dataset1,1269
Polyclonal AIIMS_330 138-months,16055_2_3,Mishra2019_dataset1,1455
Polyclonal AIIMS_330 78-months,16055_2_3,Mishra2019_dataset1,1126
Polyclonal AIIMS_330 82-months,16055_2_3,Mishra2019_dataset1,1213
Polyclonal AIIMS_330 90-months,16055_2_3,Mishra2019_dataset1,1317
polyclonal N152,16055_2_3,Huang2014,7672
polyclonal NIH45,16055_2_3,Wu2010,83
polyclonal N152,16845_2_22,Huang2014,11099
polyclonal NIH45,16845_2_22,Wu2010,509
Polyclonal AIIMS_329 102-months,16936_2_21,Mishra2019_dataset1,156
Polyclonal AIIMS_329 112-months,16936_2_21,Mishra2019_dataset1,199
Polyclonal AIIMS_329 117-months,16936_2_21,Mishra2019_dataset1,114
Polyclonal AIIMS_329 124-months,16936_2_21,Mishra2019_dataset1,142
Polyclonal AIIMS_329 131-months,16936_2_21,Mishra2019_dataset1,124
Polyclonal AIIMS_329 138-months,16936_2_21,Mishra2019_dataset1,112
Polyclonal AIIMS_329 78-months,16936_2_21,Mishra2019_dataset1,214
Polyclonal AIIMS_329 82-months,16936_2_21,Mishra2019_dataset1,233
Polyclonal AIIMS_329 90-months,16936_2_21,Mishra2019_dataset1,312
Polyclonal AIIMS_330 102-months,16936_2_21,Mishra2019_dataset1,398
Polyclonal AIIMS_330 112-months,16936_2_21,Mishra2019_dataset1,1346
Polyclonal AIIMS_330 117-months,16936_2_21,Mishra2019_dataset1,1126
Polyclonal AIIMS_330 124-months,16936_2_21,Mishra2019_dataset1,1248
Polyclonal AIIMS_330 131-months,16936_2_21,Mishra2019_dataset1,967
Polyclonal AIIMS_330 138-months,16936_2_21,Mishra2019_dataset1,678
Polyclonal AIIMS_330 78-months,16936_2_21,Mishra2019_dataset1,376
Polyclonal AIIMS_330 82-months,16936_2_21,Mishra2019_dataset1,387
Polyclonal AIIMS_330 90-months,16936_2_21,Mishra2019_dataset1,387
polyclonal N152,16936_2_21,Huang2014,8448
polyclonal NIH45,16936_2_21,Wu2010,194
polyclonal PC64-M35,191084_B7_19,Landais2017_dataset1,210
polyclonal PC64-M35,191955_A11,Landais2017_dataset1,12125
polyclonal NIH45,211_9,Wu2010,438
polyclonal PC64-M35,211_9,Landais2017_dataset1,<50
polyclonal N152,231965_C1,Huang2014,7990
polyclonal PC64-M35,231965_C1,Landais2017_dataset1,<50
polyclonal Patient 1,231965_C1,Scheid2011,304.48
polyclonal Patient 3,231965_C1,Scheid2011,86.54
polyclonal Patient 8,231965_C1,Scheid2011,171.56
polyclonal Donor 31,231966_C2,Falkowska2014,235
polyclonal Donor 31,235_47,Falkowska2014,<50
polyclonal N152,235_47,Huang2014,457
polyclonal NIH45,235_47,Wu2010,45
polyclonal PC64-M35,235_47,Landais2017_dataset1,25806
polyclonal N152,242_14,Huang2014,6609
polyclonal NIH45,242_14,Wu2010,322
Polyclonal AIIMS_329 102-months,246_F3_C10_2,Mishra2019_dataset1,612
Polyclonal AIIMS_329 112-months,246_F3_C10_2,Mishra2019_dataset1,514
Polyclonal AIIMS_329 117-months,246_F3_C10_2,Mishra2019_dataset1,451
Polyclonal AIIMS_329 124-months,246_F3_C10_2,Mishra2019_dataset1,542
Polyclonal AIIMS_329 131-months,246_F3_C10_2,Mishra2019_dataset1,254
Polyclonal AIIMS_329 138-months,246_F3_C10_2,Mishra2019_dataset1,214
Polyclonal AIIMS_329 78-months,246_F3_C10_2,Mishra2019_dataset1,323
Polyclonal AIIMS_329 82-months,246_F3_C10_2,Mishra2019_dataset1,412
Polyclonal AIIMS_329 90-months,246_F3_C10_2,Mishra2019_dataset1,701
Polyclonal AIIMS_330 102-months,246_F3_C10_2,Mishra2019_dataset1,412
Polyclonal AIIMS_330 112-months,246_F3_C10_2,Mishra2019_dataset1,547
Polyclonal AIIMS_330 117-months,246_F3_C10_2,Mishra2019_dataset1,748
Polyclonal AIIMS_330 124-months,246_F3_C10_2,Mishra2019_dataset1,860
Polyclonal AIIMS_330 131-months,246_F3_C10_2,Mishra2019_dataset1,550
Polyclonal AIIMS_330 138-months,246_F3_C10_2,Mishra2019_dataset1,963
Polyclonal AIIMS_330 78-months,246_F3_C10_2,Mishra2019_dataset1,112
Polyclonal AIIMS_330 82-months,246_F3_C10_2,Mishra2019_dataset1,189
Polyclonal AIIMS_330 90-months,246_F3_C10_2,Mishra2019_dataset1,246
polyclonal BF520,246_F3_C10_2,Simonich2016,>100
polyclonal QA013,246_F3_C10_2,Williams2018,154
polyclonal N152,247_23,Huang2014,9426
polyclonal CH0457 wk8,249M_B10,Moody2015,1224
polyclonal CH0457 wk96,249M_B10,Moody2015,1497
polyclonal PC64-M35,249M_B10,Landais2017_dataset1,133
Polyclonal AIIMS_329 102-months,25710_2_43,Mishra2019_dataset1,1246
Polyclonal AIIMS_329 112-months,25710_2_43,Mishra2019_dataset1,324
Polyclonal AIIMS_329 117-months,25710_2_43,Mishra2019_dataset1,264
Polyclonal AIIMS_329 124-months,25710_2_43,Mishra2019_dataset1,489
Polyclonal AIIMS_329 131-months,25710_2_43,Mishra2019_dataset1,549
Polyclonal AIIMS_329 138-months,25710_2_43,Mishra2019_dataset1,748
Polyclonal AIIMS_329 78-months,25710_2_43,Mishra2019_dataset1,1412
Polyclonal AIIMS_329 82-months,25710_2_43,Mishra2019_dataset1,1526
Polyclonal AIIMS_329 90-months,25710_2_43,Mishra2019_dataset1,2089
Polyclonal AIIMS_330 102-months,25710_2_43,Mishra2019_dataset1,609
Polyclonal AIIMS_330 112-months,25710_2_43,Mishra2019_dataset1,2864
Polyclonal AIIMS_330 117-months,25710_2_43,Mishra2019_dataset1,2458
Polyclonal AIIMS_330 124-months,25710_2_43,Mishra2019_dataset1,1661
Polyclonal AIIMS_330 131-months,25710_2_43,Mishra2019_dataset1,1759
Polyclonal AIIMS_330 138-months,25710_2_43,Mishra2019_dataset1,2047
Polyclonal AIIMS_330 78-months,25710_2_43,Mishra2019_dataset1,540
Polyclonal AIIMS_330 82-months,25710_2_43,Mishra2019_dataset1,560
Polyclonal AIIMS_330 90-months,25710_2_43,Mishra2019_dataset1,587
polyclonal BF520,25710_2_43,Simonich2016,120
polyclonal N152,25710_2_43,Huang2014,9868
polyclonal NIH45,25710_2_43,Wu2010,162
polyclonal QA013,25710_2_43,Williams2018,326
Polyclonal AIIMS_329 102-months,25711_2_4,Mishra2019_dataset1,1456
Polyclonal AIIMS_329 112-months,25711_2_4,Mishra2019_dataset1,567
Polyclonal AIIMS_329 117-months,25711_2_4,Mishra2019_dataset1,129
Polyclonal AIIMS_329 124-months,25711_2_4,Mishra2019_dataset1,316
Polyclonal AIIMS_329 131-months,25711_2_4,Mishra2019_dataset1,524
Polyclonal AIIMS_329 138-months,25711_2_4,Mishra2019_dataset1,724
Polyclonal AIIMS_329 78-months,25711_2_4,Mishra2019_dataset1,1247
Polyclonal AIIMS_329 82-months,25711_2_4,Mishra2019_dataset1,1146
Polyclonal AIIMS_329 90-months,25711_2_4,Mishra2019_dataset1,1894
Polyclonal AIIMS_330 102-months,25711_2_4,Mishra2019_dataset1,456
Polyclonal AIIMS_330 112-months,25711_2_4,Mishra2019_dataset1,766
Polyclonal AIIMS_330 117-months,25711_2_4,Mishra2019_dataset1,1125
Polyclonal AIIMS_330 124-months,25711_2_4,Mishra2019_dataset1,1527
Polyclonal AIIMS_330 131-months,25711_2_4,Mishra2019_dataset1,417
Polyclonal AIIMS_330 138-months,25711_2_4,Mishra2019_dataset1,1684
Polyclonal AIIMS_330 78-months,25711_2_4,Mishra2019_dataset1,600
Polyclonal AIIMS_330 82-months,25711_2_4,Mishra2019_dataset1,649
Polyclonal AIIMS_330 90-months,25711_2_4,Mishra2019_dataset1,713
polyclonal N152,25711_2_4,Huang2014,4093
polyclonal NIH45,25711_2_4,Wu2010,504
Polyclonal AIIMS_329 102-months,25925_2_22,Mishra2019_dataset1,134
Polyclonal AIIMS_329 112-months,25925_2_22,Mishra2019_dataset1,334
Polyclonal AIIMS_329 117-months,25925_2_22,Mishra2019_dataset1,128
Polyclonal AIIMS_329 124-months,25925_2_22,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,25925_2_22,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,25925_2_22,Mishra2019_dataset1,156
Polyclonal AIIMS_329 78-months,25925_2_22,Mishra2019_dataset1,85
Polyclonal AIIMS_329 82-months,25925_2_22,Mishra2019_dataset1,95
Polyclonal AIIMS_329 90-months,25925_2_22,Mishra2019_dataset1,103
Polyclonal AIIMS_330 102-months,25925_2_22,Mishra2019_dataset1,873
Polyclonal AIIMS_330 112-months,25925_2_22,Mishra2019_dataset1,3674
Polyclonal AIIMS_330 117-months,25925_2_22,Mishra2019_dataset1,2867
Polyclonal AIIMS_330 124-months,25925_2_22,Mishra2019_dataset1,458
Polyclonal AIIMS_330 131-months,25925_2_22,Mishra2019_dataset1,325
Polyclonal AIIMS_330 138-months,25925_2_22,Mishra2019_dataset1,459
Polyclonal AIIMS_330 78-months,25925_2_22,Mishra2019_dataset1,751
Polyclonal AIIMS_330 82-months,25925_2_22,Mishra2019_dataset1,779
Polyclonal AIIMS_330 90-months,25925_2_22,Mishra2019_dataset1,798
polyclonal N152,25925_2_22,Huang2014,3217
polyclonal NIH45,25925_2_22,Wu2010,312
polyclonal N152,26191_2_48,Huang2014,35.2
polyclonal NIH45,26191_2_48,Wu2010,340
polyclonal N152,263_8,Huang2014,3500
polyclonal NIH45,263_8,Wu2010,98
polyclonal PC64-M35,263_8,Landais2017_dataset1,<50
polyclonal N152,269_12,Huang2014,95876
polyclonal NIH45,286_36,Wu2010,47
polyclonal N152,288_38,Huang2014,1949
polyclonal NIH45,288_38,Wu2010,100
polyclonal N152,3016_V5_C45,Huang2014,6403
polyclonal Patient 1,3016_V5_C45,Scheid2011,>340
polyclonal Patient 3,3016_V5_C45,Scheid2011,185.62
polyclonal Patient 8,3016_V5_C45,Scheid2011,>227
polyclonal PC64-M35,3103_V3_C10,Landais2017_dataset1,<50
polyclonal N152,3168_V4_C10,Huang2014,7844
Polyclonal AIIMS_329 90-months,329_14_B1,Mishra2019_dataset1,293
Polyclonal AIIMS_329 90-months,329_14_B4,Mishra2019_dataset1,312
Polyclonal AIIMS_329 112-months,329_15_A1,Mishra2019_dataset1,149
Polyclonal AIIMS_329 112-months,329_15_B1,Mishra2019_dataset1,135
Polyclonal AIIMS_329 117-months,329_16_C1,Mishra2019_dataset1,<100
Polyclonal AIIMS_329 117-months,329_16_D5,Mishra2019_dataset1,<100
polyclonal N152,3301_V1_C24,Huang2014,9904
polyclonal PC64-M35,3301_V1_C24,Landais2017_dataset1,<50
Polyclonal AIIMS_330 90-months,330_14_A12,Mishra2019_dataset1,912
Polyclonal AIIMS_330 90-months,330_14_A20,Mishra2019_dataset1,321
Polyclonal AIIMS_330 112-months,330_15_C36,Mishra2019_dataset1,148
Polyclonal AIIMS_330 112-months,330_15_D36,Mishra2019_dataset1,<100
Polyclonal AIIMS_330 112-months,330_15_E36,Mishra2019_dataset1,<100
Polyclonal AIIMS_330 117-months,330_16_A2,Mishra2019_dataset1,214
Polyclonal AIIMS_330 117-months,330_16_D4,Mishra2019_dataset1,151
Polyclonal AIIMS_330 117-months,330_16_E6,Mishra2019_dataset1,2459
Polyclonal AIIMS_330 117-months,330_16_H2,Mishra2019_dataset1,213
polyclonal N152,3326_V4_C3,Huang2014,111
polyclonal N152,3337_V2_C6,Huang2014,22394
polyclonal N152,3365_V2_C20,Huang2014,9810
polyclonal NIH45,3365_V2_C20,Scheid2011,94
polyclonal NIH45,3365_V2_C20,Wu2010,94
polyclonal Patient 1,3365_V2_C20,Scheid2011,111.54
polyclonal Patient 3,3365_V2_C20,Scheid2011,28.46
polyclonal Patient 8,3365_V2_C20,Scheid2011,>227
polyclonal N152,3415_V1_C1,Huang2014,12934
polyclonal NIH45,3415_V1_C1,Scheid2011,54
polyclonal NIH45,3415_V1_C1,Wu2010,54
polyclonal Patient 1,3415_V1_C1,Scheid2011,48.26
polyclonal Patient 3,3415_V1_C1,Scheid2011,38.88
polyclonal Patient 8,3415_V1_C1,Scheid2011,16.63
polyclonal N152,3468_V1_C12,Huang2014,12304
polyclonal N152,3589_V1_C4,Huang2014,143
polyclonal N152,3637_V5_C3,Huang2014,777
polyclonal N152,3718_3_11,Huang2014,2167
polyclonal NIH45,3718_3_11,Wu2010,574
polyclonal PC64-M35,3817_V2_C59,Landais2017_dataset1,<50
polyclonal N152,3873_V1_C24,Huang2014,1353
polyclonal N152,3988_25,Huang2014,1332
polyclonal NIH45,3988_25,Wu2010,21
Polyclonal AIIMS_329 102-months,398_F1_F6_20,Mishra2019_dataset1,146
Polyclonal AIIMS_329 112-months,398_F1_F6_20,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 117-months,398_F1_F6_20,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 124-months,398_F1_F6_20,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,398_F1_F6_20,Mishra2019_dataset1,89
Polyclonal AIIMS_329 138-months,398_F1_F6_20,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 78-months,398_F1_F6_20,Mishra2019_dataset1,216
Polyclonal AIIMS_329 82-months,398_F1_F6_20,Mishra2019_dataset1,234
Polyclonal AIIMS_329 90-months,398_F1_F6_20,Mishra2019_dataset1,213
Polyclonal AIIMS_330 102-months,398_F1_F6_20,Mishra2019_dataset1,667
Polyclonal AIIMS_330 112-months,398_F1_F6_20,Mishra2019_dataset1,1514
Polyclonal AIIMS_330 117-months,398_F1_F6_20,Mishra2019_dataset1,1749
Polyclonal AIIMS_330 124-months,398_F1_F6_20,Mishra2019_dataset1,1906
Polyclonal AIIMS_330 131-months,398_F1_F6_20,Mishra2019_dataset1,933
Polyclonal AIIMS_330 138-months,398_F1_F6_20,Mishra2019_dataset1,2090
Polyclonal AIIMS_330 78-months,398_F1_F6_20,Mishra2019_dataset1,315
Polyclonal AIIMS_330 82-months,398_F1_F6_20,Mishra2019_dataset1,415
Polyclonal AIIMS_330 90-months,398_F1_F6_20,Mishra2019_dataset1,562
polyclonal BF520,398_F1_F6_20,Simonich2016,527
polyclonal N152,398_F1_F6_20,Huang2014,11290
polyclonal QA013,398_F1_F6_20,Williams2018,659
polyclonal N152,57128_VRC15,Huang2014,11880
polyclonal N152,5768_4,Huang2014,140
polyclonal NIH45,5768_4,Wu2010,61
polyclonal PC64-M35,6041_V3_C23,Landais2017_dataset1,<50
polyclonal N152,6095_V1_C10,Huang2014,7918
polyclonal N152,6101_1,Huang2014,1372
polyclonal NIH45,6101_1,Wu2010,207
polyclonal Donor 31,620345_C1,Falkowska2014,58
polyclonal N152,620345_C1,Huang2014,187
polyclonal NIH45,620345_C1,Scheid2011,>1000
polyclonal NIH45,620345_C1,Wu2010,>1000
polyclonal PC64-M35,620345_C1,Landais2017_dataset1,1868
polyclonal Patient 1,620345_C1,Scheid2011,>132
polyclonal Patient 3,620345_C1,Scheid2011,>132
polyclonal Patient 8,620345_C1,Scheid2011,>132
polyclonal NIH45,62357_14_D3_4589,Wu2010,92
polyclonal PC64-M35,62357_14_D3_4589,Landais2017_dataset1,<50
polyclonal NIH45,6240_08_TA5_4622,Wu2010,112
polyclonal PC64-M35,6240_08_TA5_4622,Landais2017_dataset1,<50
polyclonal NIH45,6244_13_B5_4567,Wu2010,168
polyclonal PC64-M35,6244_13_B5_4567,Landais2017_dataset1,90
polyclonal N152,6322_V4_C1,Huang2014,8201
polyclonal N152,6405_V4_C34,Huang2014,19040
polyclonal N152,6471_V1_C16,Huang2014,3099
polyclonal PC64-M35,6480_V4_C25,Landais2017_dataset1,<50
Polyclonal AIIMS_329 102-months,6535_3,Mishra2019_dataset1,942
Polyclonal AIIMS_329 112-months,6535_3,Mishra2019_dataset1,587
Polyclonal AIIMS_329 117-months,6535_3,Mishra2019_dataset1,594
Polyclonal AIIMS_329 124-months,6535_3,Mishra2019_dataset1,324
Polyclonal AIIMS_329 131-months,6535_3,Mishra2019_dataset1,316
Polyclonal AIIMS_329 138-months,6535_3,Mishra2019_dataset1,424
Polyclonal AIIMS_329 78-months,6535_3,Mishra2019_dataset1,562
Polyclonal AIIMS_329 82-months,6535_3,Mishra2019_dataset1,594
Polyclonal AIIMS_329 90-months,6535_3,Mishra2019_dataset1,682
Polyclonal AIIMS_330 102-months,6535_3,Mishra2019_dataset1,812
Polyclonal AIIMS_330 112-months,6535_3,Mishra2019_dataset1,1246
Polyclonal AIIMS_330 117-months,6535_3,Mishra2019_dataset1,928
Polyclonal AIIMS_330 124-months,6535_3,Mishra2019_dataset1,1124
Polyclonal AIIMS_330 131-months,6535_3,Mishra2019_dataset1,1529
Polyclonal AIIMS_330 138-months,6535_3,Mishra2019_dataset1,1627
Polyclonal AIIMS_330 78-months,6535_3,Mishra2019_dataset1,428
Polyclonal AIIMS_330 82-months,6535_3,Mishra2019_dataset1,561
Polyclonal AIIMS_330 90-months,6535_3,Mishra2019_dataset1,749
polyclonal CAP206,6535_3,Gray2009a,<40
polyclonal CAP256 Year1,6535_3,Doria-Rose2014,<45
polyclonal CAP256 Year2,6535_3,Doria-Rose2014,214
polyclonal CAP256 Year3,6535_3,Doria-Rose2014,788
polyclonal CAP256 Year4,6535_3,Doria-Rose2014,284
polyclonal CH0457 wk8,6535_3,Moody2015,56
polyclonal CH0457 wk96,6535_3,Moody2015,152
polyclonal Donor 17,6535_3,Walker2011,3712
polyclonal Donor 24,6535_3,Walker2009a,387
polyclonal Donor 36,6535_3,Walker2011,848
polyclonal Donor 39,6535_3,Walker2011,387
polyclonal Donor 84,6535_3,Walker2011,477.8
polyclonal N152,6535_3,Huang2014,7906
polyclonal NIH45,6535_3,Scheid2011,61
polyclonal NIH45,6535_3,Wu2010,61
polyclonal PC64-M35,6535_3,Landais2017_dataset2,71
polyclonal PC64-M35,6535_3,Landais2017_dataset1,<50
polyclonal Patient 1,6535_3,Scheid2011,88
polyclonal Patient 12,6535_3,Scheid2011,101.3
polyclonal Patient 3,6535_3,Scheid2011,400.4
polyclonal Patient 8,6535_3,Scheid2011,23.2
polyclonal QA013,6535_3,Williams2018,212
polyclonal Donor 31,6540_V4_C1,Falkowska2014,139
polyclonal N152,6540_V4_C1,Huang2014,3626
polyclonal PC64-M35,6540_V4_C1,Landais2017_dataset1,262
polyclonal N152,6545_V3_C13,Huang2014,5118
polyclonal N152,6545_V4_C1,Huang2014,3797
polyclonal PC64-M35,6545_V4_C1,Landais2017_dataset1,281
polyclonal N152,6631_V3_C10,Huang2014,49.4
polyclonal N152,6644_V2_C33,Huang2014,2654
polyclonal N152,6785_V5_C14,Huang2014,17458
polyclonal PC64-M35,6811_V7_C18,Landais2017_dataset1,<50
polyclonal N152,6838_V1_C35,Huang2014,719
polyclonal PC64-M35,6952_V1_C20,Landais2017_dataset1,76
polyclonal CH0457 wk8,700010040_C9_4520,Moody2015,79
polyclonal CH0457 wk96,700010040_C9_4520,Moody2015,137
polyclonal NIH45,700010040_C9_4520,Wu2010,44
polyclonal CH0457 wk8,703010054_2A2,Moody2015,537
polyclonal CH0457 wk96,703010054_2A2,Moody2015,892
polyclonal PC64-M35,703010054_2A2,Landais2017_dataset1,<50
polyclonal CH0457 wk8,703010200_1E5,Moody2015,419
polyclonal CH0457 wk96,703010200_1E5,Moody2015,811
polyclonal PC64-M35,703010200_1E5,Landais2017_dataset1,<50
Polyclonal AIIMS_329 102-months,703010217_B6,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 112-months,703010217_B6,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 117-months,703010217_B6,Mishra2019_dataset1,94
Polyclonal AIIMS_329 124-months,703010217_B6,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 131-months,703010217_B6,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 138-months,703010217_B6,Mishra2019_dataset1,84
Polyclonal AIIMS_329 78-months,703010217_B6,Mishra2019_dataset1,<50
Polyclonal AIIMS_329 82-months,703010217_B6,Mishra2019_dataset1,74
Polyclonal AIIMS_329 90-months,703010217_B6,Mishra2019_dataset1,<50
Polyclonal AIIMS_330 102-months,703010217_B6,Mishra2019_dataset1,874
Polyclonal AIIMS_330 112-months,703010217_B6,Mishra2019_dataset1,1001
Polyclonal AIIMS_330 117-months,703010217_B6,Mishra2019_dataset1,1110
Polyclonal AIIMS_330 124-months,703010217_B6,Mishra2019_dataset1,986
Polyclonal AIIMS_330 131-months,703010217_B6,Mishra2019_dataset1,1056
Polyclonal AIIMS_330 138-months,703010217_B6,Mishra2019_dataset1,1125
Polyclonal AIIMS_330 78-months,703010217_B6,Mishra2019_dataset1,364
Polyclonal AIIMS_330 82-months,703010217_B6,Mishra2019_dataset1,389
Polyclonal AIIMS_330 90-months,703010217_B6,Mishra2019_dataset1,459
polyclonal BF520,703010217_B6,Simonich2016,107
polyclonal QA013,703010217_B6,Williams2018,<100
polyclonal NIH45,703357_C2,Wu2010,>1000
polyclonal CH0457 wk8,704809221_1B3,Moody2015,364
polyclonal CH0457 wk96,704809221_1B3,Moody2015,628
polyclonal PC64-M35,704809221_1B3,Landais2017_dataset1,84
polyclonal N152,7165_18,Huang2014,9575
polyclonal NIH45,7165_18,Wu2010,340
polyclonal N152,89_6,Huang2014,1943
polyclonal NIH45,89_6,Wu2010,132
polyclonal PC64-M35,89_6,Landais2017_dataset2,101
polyclonal Donor 31,89_F1_2_25,Falkowska2014,<50
polyclonal PC64-M35,89_F1_2_25,Landais2017_dataset1,<50
polyclonal NIH45,9021_14_B2_4571,Wu2010,132
polyclonal N152,928_28,Huang2014,5652
polyclonal NIH45,928_28,Wu2010,517
polyclonal PC64-M35,928_28,Landais2017_dataset1,<50
polyclonal Donor 17,92BR020,Walker2011,1623.7
